Set Num	Probe Set ID	AGI														
1	244901_at	ATMG00640														
2	244902_at	ATMG00650														
6	244906_at	ATMG00690														
12	244912_at	AT2G07783														
16	244916_at	ATMG00880														
19	244919_at	AT2G07768	ATMG00960													
20	244920_s_at	AT2G07751														
21	244921_s_at	AT2G07674	AT2G07751													
22	244922_s_at	AT2G07674														
23	244923_s_at	AT2G07674														
26	244926_s_at	AT2G07711	AT2G07712													
27	244927_at	AT2G07776														
28	244928_s_at	AT2G07716														
30	244930_at	AT2G07809														
43	244943_at	ATMG00070														
51	244951_s_at	AT2G07723														
53	244953_s_at	AT2G07731														
54	244954_s_at	AT2G07732														
59	244959_s_at	AT2G07708														
127	245027_at	AT2G26550														
128	245028_at	AT2G26570														
129	245029_at	AT2G26580														
130	245030_at	AT2G26620														
131	245031_at	AT2G26360														
133	245033_at	AT2G26380														
134	245034_at	AT2G26390														
135	245035_at	AT2G26400														
136	245036_at	AT2G26410														
137	245037_at	AT2G26420														
138	245038_at	AT2G26560														
139	245039_at	AT2G26600														
140	245040_at	AT2G26520														
141	245041_at	AT2G26530														
142	245042_at	AT2G26540														
143	245043_at	AT2G26430														
144	245044_at	AT2G26500														
145	245045_at	AT2G26590														
146	245046_at	AT2G26510														
151	245051_at	AT2G23320														
152	245052_at	AT2G26440														
153	245053_at	AT2G26450														
154	245054_at	AT2G26460														
155	245055_at	AT2G26470														
156	245056_at	AT2G26480														
157	245057_at	AT2G26490														
158	245058_at	AT2G39790														
159	245059_at	AT2G39720														
160	245060_at	AT2G39770														
161	245061_at	AT2G39730														
162	245062_at	AT2G39760														
163	245063_at	AT2G39795														
164	245064_at	AT2G39725														
165	245065_at	AT2G39750														
166	245066_at	AT2G39840														
167	245067_at	AT2G39780														
168	245068_at	AT2G23260														
169	245069_at	AT2G23250														
170	245070_at	AT2G23240														
171	245071_at	AT2G23230														
172	245072_s_at	AT2G23190	AT2G23220													
173	245073_at	AT2G23210														
174	245074_at	AT2G23200														
175	245075_at	AT2G23180														
176	245076_at	AT2G23170														
177	245077_at	AT2G23160														
178	245078_at	AT2G23340														
180	245080_at	AT2G23300														
182	245082_at	AT2G23270														
183	245083_at	AT2G23310														
184	245084_at	AT2G23290														
185	245085_at	AT2G23350														
186	245086_at	AT2G39820														
187	245087_at	AT2G39830														
188	245088_at	AT2G39850														
189	245089_at	AT2G45290														
190	245090_at	AT2G40900														
191	245091_at	AT2G40910														
192	245092_at	AT2G40950														
193	245093_at	AT2G40815	AT2G40820													
194	245094_at	AT2G40840														
195	245095_at	AT2G40860														
196	245096_at	AT2G40880														
197	245097_at	AT2G40935														
198	245098_at	AT2G40940														
199	245099_at	AT2G40830														
200	245100_at	AT2G40930														
201	245101_at	AT2G40890														
203	245103_at	AT2G41590														
204	245104_at	AT2G41600														
205	245105_at	AT2G41610														
206	245106_at	AT2G41650														
207	245107_at	AT2G41690														
208	245108_at	AT2G41510														
209	245109_at	AT2G41520														
210	245110_at	AT2G41550														
212	245112_at	AT2G41540														
213	245113_at	AT2G41660														
214	245114_at	AT2G41630														
215	245115_at	AT2G41530														
216	245116_at	AT2G41620														
217	245117_at	AT2G41560														
218	245118_at	AT2G41680														
219	245119_at	AT2G41640														
220	245120_at	AT2G39810														
221	245121_at	AT2G47610														
222	245122_at	AT2G47420														
223	245123_at	AT2G47450														
224	245124_at	AT2G47580														
225	245125_at	AT2G47430														
226	245126_at	AT2G47460														
227	245127_at	AT2G47600														
228	245128_at	AT2G45380														
229	245129_at	AT2G45350														
230	245130_at	AT2G45340														
231	245131_s_at	AT2G45330	AT5G23600													
232	245132_at	AT2G45320														
233	245133_at	AT2G45310														
234	245134_s_at	AT2G45250	AT4G38280													
236	245136_at	AT2G45210														
237	245137_at	AT2G45460														
238	245138_at	AT2G45190														
239	245139_at	AT2G45430														
240	245140_at	AT2G45420														
241	245141_at	AT2G45400														
242	245142_at	AT2G45270														
243	245143_at	AT2G45450														
244	245144_at	AT2G45240														
245	245145_at	AT2G45440														
246	245146_at	AT2G45200														
247	245147_at	AT2G45280														
248	245148_at	AT2G45220														
249	245149_at	AT2G47620														
250	245150_at	AT2G47590														
251	245151_at	AT2G47550														
252	245152_at	AT2G47490														
253	245153_at	AT5G12450														
254	245154_at	AT5G12460														
255	245155_at	AT5G12470														
256	245156_at	AT5G12480														
257	245157_at	AT2G33160														
258	245158_at	AT2G33130														
259	245159_at	AT2G33100														
260	245160_at	AT2G33080														
261	245161_at	AT2G33070														
262	245162_at	AT2G33240														
263	245163_at	AT2G33230														
264	245164_at	AT2G33210														
265	245165_at	AT2G33180														
266	245166_at	AT2G33170														
267	245167_s_at	AT2G33110	AT2G33120													
268	245168_at	AT2G33150														
269	245169_at	AT2G33220														
270	245170_at	AT2G47570														
271	245171_at	AT2G47560														
272	245172_at	AT2G47540														
273	245173_at	AT2G47520														
274	245174_at	AT2G47500														
275	245175_at	AT2G47470														
276	245176_at	AT2G47440														
277	245177_at	AT5G12380														
278	245178_at	AT5G12390														
279	245179_at	AT5G12400														
280	245180_at	AT5G12410														
281	245181_at	AT5G12420														
282	245182_at	AT5G12430														
283	245183_at	AT5G12440														
284	245184_at	AT1G67790														
285	245185_at	AT1G67760														
286	245186_at	AT1G67710														
287	245187_s_at	AT1G67650	AT1G67680													
288	245188_at	AT1G67660														
289	245189_at	AT1G67670														
290	245190_at	AT1G67690														
291	245191_at	AT1G67770														
292	245192_at	AT1G67780														
293	245193_at	AT1G67810														
294	245194_at	AT1G67820														
295	245195_at	AT1G67740														
296	245196_at	AT1G67750														
297	245197_at	AT1G67800														
298	245198_at	AT1G67700														
299	245199_at	AT1G67730														
300	245200_at	AT1G67850														
301	245201_at	AT1G67840														
302	245202_at	AT1G67720														
304	245204_at	AT5G12270														
305	245205_at	AT5G12280														
306	245206_at	AT5G12290														
307	245207_at	AT5G12310														
308	245208_at	AT5G12330														
309	245209_at	AT5G12340														
310	245210_at	AT5G12350														
311	245211_at	AT5G12370														
313	245213_at	AT1G44575														
314	245214_at	AT1G67855														
315	245215_at	AT1G67830														
316	245216_at	AT4G16143														
318	245218_s_at	AT1G58848	AT1G59218													
319	245219_at	AT1G58807	AT1G59124													
320	245220_at	AT1G59171														
323	245223_at	AT3G29791														
324	245224_at	AT3G29796														
325	245225_at	AT3G29800														
326	245226_at	AT3G29970														
327	245227_s_at	AT1G08410														
328	245228_at	AT3G29810														
329	245229_at	AT4G25620														
330	245230_at	AT4G25610														
331	245231_at	AT4G25600														
332	245232_at	AT4G25590														
333	245233_at	AT4G25580														
334	245234_at	AT4G25560														
335	245235_at	AT4G25550														
336	245236_at	AT4G25540														
337	245237_at	AT4G25520														
338	245238_at	AT4G25570														
339	245239_at	AT4G25530														
341	245241_at	AT1G44478														
342	245242_at	AT1G44446														
343	245243_at	AT1G44414														
344	245244_at	AT1G44350														
345	245245_at	AT1G44318														
346	245246_at	AT1G44224														
347	245247_at	AT4G17230														
348	245248_at	AT4G15415														
349	245249_at	AT4G16760														
350	245250_at	AT4G17490														
351	245251_at	AT4G17615														
352	245252_at	AT4G17500														
353	245253_at	AT4G15440														
354	245254_at	AT4G14680														
355	245255_at	AT4G14110														
356	245256_at	AT4G15090														
357	245257_at	AT4G14640														
358	245258_at	AT4G15340														
359	245259_at	AT4G14150														
360	245260_at	AT4G16360														
361	245261_at	AT4G14385														
362	245262_at	AT4G16563														
363	245263_at	AT4G17740														
364	245264_at	AT4G17245														
365	245265_at	AT4G14400														
366	245266_at	AT4G17070														
367	245267_at	AT4G14060														
368	245268_at	AT4G16570														
369	245269_at	AT4G14500														
370	245270_at	AT4G14960														
371	245271_at	AT4G16430														
372	245272_at	AT4G17250														
373	245273_at	AT4G14950														
374	245274_at	AT4G14360														
375	245275_at	AT4G15210														
376	245276_at	AT4G16780														
377	245277_at	AT4G15550														
378	245278_at	AT4G17730														
379	245279_at	AT4G17270														
380	245280_at	AT4G16845														
381	245281_at	AT4G15560														
382	245282_at	AT4G14990														
383	245283_at	AT4G13980														
384	245284_at	AT4G14210														
385	245285_s_at	AT4G14030	AT4G14040													
386	245286_at	AT4G14880														
387	245287_at	AT4G14910														
388	245288_at	AT4G16420														
389	245289_at	AT4G15470														
390	245290_at	AT4G16490														
391	245291_at	AT4G16155														
392	245292_at	AT4G15093														
393	245293_at	AT4G16660														
394	245294_at	AT4G14340														
395	245295_at	AT4G16100														
396	245296_at	AT4G16370														
397	245297_at	AT4G16510														
398	245298_at	AT4G15010														
399	245299_at	AT4G17530														
400	245300_at	AT4G16350														
401	245301_at	AT4G17190														
402	245302_at	AT4G17695														
403	245303_at	AT4G17010														
404	245304_at	AT4G15630														
405	245305_at	AT4G17215														
406	245306_at	AT4G14690														
407	245307_at	AT4G16770														
408	245308_at	AT4G17486														
409	245309_at	AT4G15140														
410	245310_at	AT4G13950														
411	245311_at	AT4G14320														
412	245312_at	AT4G14600														
413	245313_at	AT4G15420														
414	245314_at	AT4G16745														
415	245315_at	AT4G14800														
416	245316_at	AT4G14000														
417	245317_at	AT4G15610														
