AGI	GPA1 Prey	AGB1 Prey
AT1G02870	0	1
AT1G07210	1	0
AT1G08820	0	1
AT1G09850	0	1
AT1G09995	1	0
AT1G11790	1	0
AT1G15500	0	1
AT1G16420	0	1
AT1G20970	0	1
AT1G22920	1	0
AT1G27530	0	1
AT1G28520	1	1
AT1G32400	0	1
AT1G33055	0	1
AT1G33060	0	1
AT1G49670	0	1
AT1G49870	0	1
AT1G52760	0	1
AT1G53230	1	0
AT1G54290	0	1
AT1G56070	1	0
AT1G65010	0	1
AT1G72050	0	1
AT1G79500	0	1
AT2G01860	0	1
AT2G03670	0	1
AT2G06850	1	0
AT2G19270	0	1
AT2G19460	0	1
AT2G19640	0	1
AT2G20890	1	0
AT2G21580	1	0
AT2G21620	1	0
AT2G23070	0	1
AT2G24420	0	1
AT2G26300	0	1
AT2G36530	0	1
AT2G42400	1	1
AT2G45140	0	1
AT2G45680	1	0
AT2G46240	1	0
AT2G46330	1	0
AT2G46535	0	1
AT2G47590	0	1
AT3G03890	0	1
AT3G05920	0	1
AT3G11850	0	1
AT3G13790	0	1
AT3G14160	0	1
AT3G16857	0	1
AT3G19370	0	1
AT3G22942	0	1
AT3G23450	0	1
AT3G24120	1	1
AT3G26090	1	0
AT3G45150	1	0
AT3G52570	1	0
AT3G59220	1	0
AT3G60600	0	1
AT3G61480	1	0
AT3G63420	0	1
AT4G00752	1	0
AT4G01550	0	1
AT4G07820	0	1
AT4G11420	1	0
AT4G13640	1	0
AT4G14040	0	1
AT4G14716	0	1
AT4G16240	0	1
AT4G17730	1	0
AT4G22780	0	1
AT4G24510	0	1
AT4G25100	1	1
AT4G25390	0	1
AT4G26410	1	0
AT4G29020	0	1
AT4G32175	0	1
AT4G32520	0	1
AT4G33060	1	0
AT4G34990	1	0
AT4G35580	0	1
AT4G36250	0	1
AT4G37180	1	0
AT4G38680	0	1
AT5G01010	0	1
AT5G05760	0	1
AT5G08510	0	1
AT5G10470	1	0
AT5G13430	1	0
AT5G13440	1	0
AT5G14660	1	0
AT5G16590	1	0
AT5G16840	0	1
AT5G20150	1	0
AT5G22290	0	1
AT5G23060	1	0
AT5G23280	1	0
AT5G24620	1	1
AT5G27330	0	1
AT5G38480	0	1
AT5G40730	0	1
AT5G43850	1	0
AT5G51770	0	1
AT5G56750	0	1
AT5G59550	0	1
AT5G61820	1	0
AT5G64330	0	1
AT5G66180	0	1

